metrica,k,inercia,silhouette
Euclidiana,2,801.2485,0.5024
Euclidiana,3,669.5645,0.2673
Euclidiana,4,587.5799,0.1659
Euclidiana,5,543.0425,0.1507
Euclidiana,6,505.0274,0.1571
Euclidiana,7,485.882,0.1464
Euclidiana,8,460.8726,0.1163
Euclidiana,9,427.6303,0.1272
Euclidiana,10,409.772,0.1289
Manhattan,2,9064.8684,0.1417
Manhattan,3,7673.7558,0.1396
Manhattan,4,6392.8749,0.1611
Manhattan,5,6245.457,0.1556
Manhattan,6,5851.3691,0.1563
Manhattan,7,5495.0892,0.1779
Manhattan,8,5470.8242,0.1701
Manhattan,9,4923.2232,0.1584
Manhattan,10,4733.898,0.1644
Coseno,2,31.2087,0.1393
Coseno,3,22.7338,0.1409
Coseno,4,17.9516,0.1368
Coseno,5,14.2043,0.1499
Coseno,6,11.1801,0.1564
Coseno,7,9.6529,0.1549
Coseno,8,7.7142,0.1681
Coseno,9,7.4688,0.1589
Coseno,10,6.7417,0.1498
Mahalanobis,2,1007.4338,0.039
Mahalanobis,3,949.792,0.0573
Mahalanobis,4,903.1524,0.0483
Mahalanobis,5,855.48,0.0669
Mahalanobis,6,814.6472,0.0501
Mahalanobis,7,776.6818,0.0521
Mahalanobis,8,730.9796,0.0539
Mahalanobis,9,702.5035,0.0566
Mahalanobis,10,655.8483,0.0847
